index,PDE_100,Act_100,PDE_100_D,PDE_delta_100,PDE_120,Act_120,PDE_120_D,PDE_delta_120
1,9.049929348,7.965567455,9.681750956,0.631821608,1.694557447,2.147298811,2.152825336,0.458267889
2,7.526535676,7.965567455,8.24886234,0.722326664,2.395642598,2.147298811,2.593867142,0.198224545
3,8.090552062,7.965567455,8.722103095,0.631551033,2.224516352,2.147298811,2.409868411,0.185352059
4,7.839416917,7.965567455,8.496730589,0.657313673,2.214958029,2.147298811,2.472287935,0.257329906
5,7.975604655,7.965567455,8.599966544,0.624361889,2.167152298,2.147298811,2.427990247,0.260837948
6,7.91056377,7.965567455,8.541265603,0.630701833,2.056863672,2.147298811,2.313111443,0.25624777
7,7.95243435,7.965567455,8.568856119,0.616421769,2.154726111,2.147298811,2.335201425,0.180475314
8,7.933583409,7.965567455,8.550270821,0.616687411,2.176138513,2.147298811,2.369838705,0.193700191
9,7.948363804,7.965567455,8.557845055,0.609481252,2.18792593,2.147298811,2.399647029,0.211721099
10,7.942989125,7.965567455,8.550958824,0.607969699,2.180828612,2.147298811,2.404275855,0.223447243
11,7.948897776,7.965567455,8.552651066,0.603753289,2.162767457,2.147298811,2.399263677,0.23649622
12,7.947704649,7.965567455,8.54958558,0.601880932,2.140045059,2.147298811,2.386563512,0.246518453
13,7.950424925,7.965567455,8.549494383,0.599069458,2.110682452,2.147298811,2.367311002,0.25662855
14,7.950522853,7.965567455,8.547804498,0.597281645,2.131867507,2.147298811,2.34548504,0.213617533
15,7.951991189,7.965567455,8.547200778,0.59520959,2.149615787,2.147298811,2.337113162,0.187497375
16,7.952445028,7.965567455,8.546065982,0.593620954,2.160888032,2.147298811,2.357001118,0.196113086
17,7.953368826,7.965567455,8.545354082,0.591985256,2.166308687,2.147298811,2.370305436,0.203996749
18,7.95387695,7.965567455,8.544479026,0.590602076,2.167275768,2.147298811,2.378752558,0.21147679
19,7.954533045,7.965567455,8.543784762,0.589251717,2.164553955,2.147298811,2.382984037,0.218430082
20,7.955004792,7.965567455,8.54305417,0.588049378,2.158838868,2.147298811,2.383851048,0.22501218
21,7.955510543,7.965567455,8.54241199,0.586901446,2.150721333,2.147298811,2.381911265,0.231189932
22,7.955925287,7.965567455,8.541775798,0.585850511,2.140611666,2.147298811,2.377654902,0.237043236
23,7.956335554,7.965567455,8.541190516,0.584854962,2.128919076,2.147298811,2.37149138,0.242572305
24,7.956694756,7.965567455,8.540623802,0.583929046,2.133537836,2.147298811,2.363735807,0.230197971
25,7.957038236,7.965567455,8.540091306,0.58305307,2.143050425,2.147298811,2.354674871,0.211624446
26,7.957349191,7.965567455,8.539579666,0.582230476,2.150093557,2.147298811,2.34452429,0.194430733
27,7.957642715,7.965567455,8.539093813,0.581451099,2.154978032,2.147298811,2.353012644,0.198034612
28,7.95791326,7.965567455,8.538627751,0.58071449,2.157963006,2.147298811,2.360774859,0.202811853
29,7.958167726,7.965567455,8.538182547,0.580014821,2.159278766,2.147298811,2.366681455,0.207402689
30,7.958404737,7.965567455,8.537755167,0.57935043,2.159123892,2.147298811,2.370941175,0.211817283
31,7.958627759,7.965567455,8.537345356,0.578717597,2.157672735,2.147298811,2.373739684,0.216066949
32,7.958836888,7.965567455,8.536951338,0.57811445,2.15507796,2.147298811,2.375238822,0.220160862
33,7.959034079,7.965567455,8.536572462,0.577538384,2.151473484,2.147298811,2.375581797,0.224108312
34,7.95921988,7.965567455,8.536207539,0.57698766,2.146977456,2.147298811,2.374894816,0.22791736
35,7.95939553,7.965567455,8.535855855,0.576460325,2.141693838,2.147298811,2.373289646,0.231595808
36,7.95956166,7.965567455,8.535516525,0.575954865,2.135714754,2.147298811,2.370865423,0.235150669
37,7.959719135,7.965567455,8.535188882,0.575469747,2.136887355,2.147298811,2.367710197,0.230822842
38,7.959868542,7.965567455,8.534872223,0.57500368,2.142241165,2.147298811,2.363902414,0.221661249
39,7.960010531,7.965567455,8.534565957,0.574555425,2.146558113,2.147298811,2.359511996,0.212953882
